priority,topicId,id,title,reason,source,url,sourceUrl,stage,type,isDatePlaceholder,nextAction
P1,programming-ddl,programming-ddl-advent-of-code-2026-day-1-2026-12-01,Advent of Code 2026 Day 1,root-like URL without source-board wording,Official site,https://adventofcode.com,https://adventofcode.com,Event start,contest,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,programming-ddl,programming-ddl-atcoder-grand-contest-demo-round-2026-11-01,AtCoder Grand Contest Demo Round,root-like URL without source-board wording,Official site,https://atcoder.jp,https://atcoder.jp,Contest,contest,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,programming-ddl,programming-ddl-codeforces-global-round-2026-06-20,Codeforces Global Round,root-like URL without source-board wording,Official site,https://codeforces.com,https://codeforces.com,Contest,contest,,优先寻找官方详情页；若官网只提供总入口，标明 official_index/source-board 语义
P1,security-ddl,ctftime-3136,SecLeaf Q2 CTF 2026,aggregator or review-platform source,ctftime,https://ctftime.org/event/3136,https://ctftime.org/event/3136,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3174,Hardwear.io USA 2026 Hardware CTF,aggregator or review-platform source,ctftime,https://ctftime.org/event/3174,https://ctftime.org/event/3174,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3178,Grey Cat The Flag 2026 Qualifiers,aggregator or review-platform source,ctftime,https://ctftime.org/event/3178,https://ctftime.org/event/3178,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3205,DEF CON CTF Qualifier 2026,aggregator or review-platform source,ctftime,https://ctftime.org/event/3205,https://ctftime.org/event/3205,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3209,THEM?!CTF 2026,aggregator or review-platform source,ctftime,https://ctftime.org/event/3209,https://ctftime.org/event/3209,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3220,Pwn2Play Open CTF,aggregator or review-platform source,ctftime,https://ctftime.org/event/3220,https://ctftime.org/event/3220,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3243,WhiteHats TrojanCTF 2026,aggregator or review-platform source,ctftime,https://ctftime.org/event/3243,https://ctftime.org/event/3243,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3247,BYUCTF 2026,aggregator or review-platform source,ctftime,https://ctftime.org/event/3247,https://ctftime.org/event/3247,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3270,Hackअस्त्र,aggregator or review-platform source,ctftime,https://ctftime.org/event/3270,https://ctftime.org/event/3270,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3271,ZEROBREACH CTF,aggregator or review-platform source,ctftime,https://ctftime.org/event/3271,https://ctftime.org/event/3271,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3277,Hack for a Change 2026 May: UN SDG 1,aggregator or review-platform source,ctftime,https://ctftime.org/event/3277,https://ctftime.org/event/3277,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,ctftime-3284,Hack4Krak CTF 2026 - High School Edition,aggregator or review-platform source,ctftime,https://ctftime.org/event/3284,https://ctftime.org/event/3284,upcoming,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,security-ddl-blue-team-village-challenge-2026-11-22,Blue Team Village Challenge,aggregator or review-platform source,ctftime.org,https://ctftime.org,https://ctftime.org,Source board,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,security-ddl-cloud-native-security-hackathon-2027-03-28,Cloud Native Security Hackathon,aggregator or review-platform source,ctftime.org,https://ctftime.org,https://ctftime.org,Source board,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,security-ddl-cyber-defense-exercise-registration-2027-02-02,Cyber Defense Exercise Registration,aggregator or review-platform source,ctftime.org,https://ctftime.org,https://ctftime.org,Source board,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,security-ddl-iot-security-testbed-sprint-2027-03-10,IoT Security Testbed Sprint,aggregator or review-platform source,ctftime.org,https://ctftime.org,https://ctftime.org,Source board,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,security-ddl-mobile-security-challenge-2027-02-20,Mobile Security Challenge,aggregator or review-platform source,ctftime.org,https://ctftime.org,https://ctftime.org,Source board,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P1,security-ddl,security-ddl-s-p-workshop-paper-2027-01-15,S&P Workshop Paper,aggregator or review-platform source,ctftime.org,https://ctftime.org,https://ctftime.org,Source board,contest,,用聚合页做线索，补官方主办方/赛题/投稿页；无法补齐时标注二级来源并进入人工复核
P2,academic-ddl,academic-ddl-aaai-2027-abstract-2026-08-12,AAAI 2027 Abstract,manual/source-board follow-up,人工整理的官方来源入口,https://aaai.org,https://aaai.org,Abstract,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-acm-mm-2027-paper-2027-03-31,ACM MM 2027 Paper,manual/source-board follow-up,人工整理的官方来源入口,https://acmmm.org,https://acmmm.org,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-aistats-2027-paper-2026-10-08,AISTATS 2027 Paper,manual/source-board follow-up,人工整理的官方来源入口,https://aistats.org,https://aistats.org,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-chi-2027-papers-2026-09-10,CHI 2027 Papers,manual/source-board follow-up,人工整理的官方来源入口,https://chi2027.acm.org,https://chi2027.acm.org,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-icaps-2027-paper-2026-11-20,ICAPS 2027 Paper,manual/source-board follow-up,人工整理的官方来源入口,https://icaps-conference.org,https://icaps-conference.org,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-iclr-2027-submission-2026-10-01,ICLR 2027 Submission,manual/source-board follow-up,官方来源入口,https://iclr.cc,https://iclr.cc,OpenReview,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-icml-2027-abstract-2027-01-23,ICML 2027 Abstract,manual/source-board follow-up,人工整理的官方来源入口,https://icml.cc,https://icml.cc,Abstract,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-icra-2027-paper-2026-09-15,ICRA 2027 Paper,manual/source-board follow-up,人工整理的官方来源入口,https://www.ieee-ras.org/conferences-workshops/fully-sponsored/icra,https://www.ieee-ras.org/conferences-workshops/fully-sponsored/icra,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-isca-2027-paper-2026-11-18,ISCA 2027 Paper,manual/source-board follow-up,人工整理的官方来源入口,https://iscaconf.org,https://iscaconf.org,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-kdd-2027-research-track-2027-02-04,KDD 2027 Research Track,manual/source-board follow-up,人工整理的官方来源入口,https://kdd.org,https://kdd.org,Research,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-neurips-2026-full-paper-2026-05-28,NeurIPS 2026 Full Paper,manual/source-board follow-up,官方来源入口,https://neurips.cc,https://neurips.cc,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-nsf-proposal-calendar-reminder-2026-09-30,NSF Proposal Calendar Reminder,manual/source-board follow-up,人工整理的官方来源入口,https://www.nsf.gov/funding,https://www.nsf.gov/funding,Proposal window,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-osdi-2027-paper-2027-02-01,OSDI 2027 Paper,manual/source-board follow-up,人工整理的官方来源入口,https://www.usenix.org/conferences,https://www.usenix.org/conferences,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-rss-2027-paper-2027-01-25,RSS 2027 Paper,manual/source-board follow-up,人工整理的官方来源入口,https://roboticsconference.org,https://roboticsconference.org,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-sigir-2027-full-paper-2027-01-30,SIGIR 2027 Full Paper,manual/source-board follow-up,人工整理的官方来源入口,https://sigir.org,https://sigir.org,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-sigmod-2027-round-1-2026-07-15,SIGMOD 2027 Round 1,manual/source-board follow-up,人工整理的官方来源入口,https://sigmod.org,https://sigmod.org,Round 1,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-uai-2027-paper-2027-02-14,UAI 2027 Paper,manual/source-board follow-up,人工整理的官方来源入口,https://www.auai.org/uai,https://www.auai.org/uai,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-ubicomp-2027-full-paper-2026-10-20,UbiComp 2027 Full Paper,manual/source-board follow-up,人工整理的官方来源入口,https://ubicomp.org,https://ubicomp.org,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-vldb-2027-monthly-deadline-2026-06-01,VLDB 2027 Monthly Deadline,manual/source-board follow-up,人工整理的官方来源入口,https://vldb.org,https://vldb.org,Monthly cycle,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,academic-ddl,academic-ddl-www-2027-research-track-2026-10-07,WWW 2027 Research Track,manual/source-board follow-up,人工整理的官方来源入口,https://www2027.thewebconf.org,https://www2027.thewebconf.org,Paper,conference,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,car-launch-ddl,car-launch-ddl-auto-shanghai-next-window-forecast,Auto Shanghai 下一届发布窗口预测,manual/source-board follow-up,Shanghai Municipal Government official schedule,https://english.shanghai.gov.cn/en-Editorspick-DoBusiness/20260430/7445580f34f8413da68ba0ed2d838385.html,https://english.shanghai.gov.cn/en-Editorspick-DoBusiness/20260430/7445580f34f8413da68ba0ed2d838385.html,Forecast window,forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,car-launch-ddl,car-launch-ddl-automobility-la-2026-11-19,AutoMobility LA 2026,manual/source-board follow-up,LA Auto Show official,https://laautoshow.com/schedule/,https://laautoshow.com/schedule/,Media / industry day,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,car-launch-ddl,car-launch-ddl-detroit-auto-show-2027-01-12,Detroit Auto Show 2027,manual/source-board follow-up,Detroit Auto Show official,https://detroitautoshow.com/,https://detroitautoshow.com/,Auto show opening,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,car-launch-ddl,car-launch-ddl-paris-motor-show-2026-10-12,Paris Motor Show 2026,manual/source-board follow-up,Paris Motor Show official,https://mondial.paris/en,https://mondial.paris/en,Auto show opening,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,car-launch-ddl,car-launch-ddl-sema-show-2026-11-03,SEMA Show 2026,manual/source-board follow-up,SEMA Show official,https://www.semashow.com/,https://www.semashow.com/,Show opening,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,civil-service-ddl,civil-service-ddl-beijing-public-service-source-board-2026-11-15,北京市公务员与事业单位招录公告入口,manual/source-board follow-up,北京市人事考试服务频道,https://rsj.beijing.gov.cn/ywsite/bjpta/,https://rsj.beijing.gov.cn/ywsite/bjpta/,Source board,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,civil-service-ddl,civil-service-ddl-central-selection-source-board-2026-10-30,中央机关公开遴选和公开选调公务员入口,manual/source-board follow-up,国家公务员局,http://subb.scs.gov.cn/lx2026,http://subb.scs.gov.cn/lx2026,Source board,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,civil-service-ddl,civil-service-ddl-guangdong-public-service-source-board-2026-11-30,广东省公务员与事业单位招录公告入口,manual/source-board follow-up,广东人事考试网,https://rsks.gd.gov.cn/,https://rsks.gd.gov.cn/,Source board,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,civil-service-ddl,civil-service-ddl-national-civil-service-source-board-2026-10-15,中央机关及其直属机构公务员考试公告与报名入口,manual/source-board follow-up,国家公务员局,http://bm.scs.gov.cn/kl2026,http://bm.scs.gov.cn/kl2026,Source board,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,civil-service-ddl,civil-service-ddl-public-institution-source-board-2026-12-15,事业单位公开招聘公告入口,manual/source-board follow-up,中国公共招聘网,https://chinajob.mohrss.gov.cn/,https://chinajob.mohrss.gov.cn/,Source board,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,civil-service-ddl,civil-service-ddl-shaanxi-public-service-source-board-2026-12-31,陕西省公务员与事业单位招录公告入口,manual/source-board follow-up,陕西人事考试网,https://www.sxrsks.cn/,https://www.sxrsks.cn/,Source board,program,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-aws-certification-voucher-window-2027-02-20,AWS Certification Voucher Window,manual/source-board follow-up,AWS Certification,https://aws.amazon.com/certification/,https://aws.amazon.com/certification/,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-cfa-exam-registration-deadline-2027-03-28,CFA Exam Registration Deadline,manual/source-board follow-up,CFA Institute,https://www.cfainstitute.org,https://www.cfainstitute.org,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-gmat-focus-exam-planning-2026-10-17,GMAT Focus Exam Planning,manual/source-board follow-up,GMAC GMAT,https://www.mba.com/exams/gmat-exam,https://www.mba.com/exams/gmat-exam,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-gre-general-test-planning-2026-09-29,GRE General Test Planning,manual/source-board follow-up,ETS GRE,https://www.ets.org/gre.html,https://www.ets.org/gre.html,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2026-07-01,全国硕士研究生考试预报名提醒,manual/source-board follow-up,yz.chsi.com.cn,https://yz.chsi.com.cn,https://yz.chsi.com.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2026-07-19,全国硕士研究生考试正式报名提醒,manual/source-board follow-up,yz.chsi.com.cn,https://yz.chsi.com.cn,https://yz.chsi.com.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2026-08-06,大学英语四六级报名窗口,manual/source-board follow-up,cet.neea.edu.cn,https://cet.neea.edu.cn,https://cet.neea.edu.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2026-08-24,雅思考试报名提醒,manual/source-board follow-up,ielts.neea.cn,https://ielts.neea.cn,https://ielts.neea.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2026-09-11,托福考试报名提醒,manual/source-board follow-up,toefl.neea.cn,https://toefl.neea.cn,https://toefl.neea.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2026-11-04,国家公务员考试报名提醒,manual/source-board follow-up,中国政府网,https://bm.scs.gov.cn,https://bm.scs.gov.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2026-11-22,教师资格证笔试报名,manual/source-board follow-up,ntce.neea.edu.cn,https://ntce.neea.edu.cn,https://ntce.neea.edu.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2026-12-10,计算机等级考试报名,manual/source-board follow-up,ncre.neea.edu.cn,https://ncre.neea.edu.cn,https://ncre.neea.edu.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2026-12-28,软考报名窗口,manual/source-board follow-up,ruankao.org.cn,https://www.ruankao.org.cn,https://www.ruankao.org.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2027-01-15,注册会计师考试报名,manual/source-board follow-up,cpaexam.cicpa.org.cn,https://cpaexam.cicpa.org.cn,https://cpaexam.cicpa.org.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-item-2027-02-02,法考客观题报名,manual/source-board follow-up,中国政府网,https://www.moj.gov.cn,https://www.moj.gov.cn,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,exam-ddl,exam-ddl-pmp-exam-application-window-2027-03-10,PMP Exam Application Window,manual/source-board follow-up,PMI PMP Certification,https://www.pmi.org/certifications/project-management-pmp,https://www.pmi.org/certifications/project-management-pmp,Source board,program,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-a-maze-awards-submission-2026-12-28,A MAZE. Awards Submission,manual/source-board follow-up,A MAZE.,https://amaze-berlin.de,https://amaze-berlin.de,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-ai-npc-challenge-2027-02-20,AI NPC Challenge,manual/source-board follow-up,itch.io,https://itch.io/jams,https://itch.io/jams,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-game-off-by-github-2026-12-10,Game Off by GitHub,manual/source-board follow-up,GitHub Game Off,https://itch.io/jam/game-off,https://itch.io/jam/game-off,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-games-for-change-awards-2027-02-02,Games for Change Awards,manual/source-board follow-up,Games for Change,https://www.gamesforchange.org,https://www.gamesforchange.org,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-global-game-jam-site-registration-2026-07-01,Global Game Jam Site Registration,manual/source-board follow-up,Global Game Jam,https://globalgamejam.org,https://globalgamejam.org,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-gmtk-game-jam-2026-08-06,GMTK Game Jam,manual/source-board follow-up,itch.io Jams,https://itch.io/jams,https://itch.io/jams,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-godot-wild-jam-2026-11-22,Godot Wild Jam,manual/source-board follow-up,itch.io Jams,https://itch.io/jams,https://itch.io/jams,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-independent-games-festival-submission-2026-09-11,Independent Games Festival Submission,manual/source-board follow-up,Independent Games Festival,https://igf.com,https://igf.com,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-indiecade-submission-2027-01-15,IndieCade Submission,manual/source-board follow-up,IndieCade,https://www.indiecade.com,https://www.indiecade.com,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-itch-io-brackeys-game-jam-2026-08-24,itch.io Brackeys Game Jam,manual/source-board follow-up,itch.io Jams,https://itch.io/jams,https://itch.io/jams,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-ludum-dare-60-2026-07-19,Ludum Dare 60,manual/source-board follow-up,Ludum Dare,https://ldjam.com,https://ldjam.com,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-procedural-generation-jam-2027-03-10,Procedural Generation Jam,manual/source-board follow-up,itch.io,https://itch.io/jams,https://itch.io/jams,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-serious-games-health-track-2027-03-28,Serious Games Health Track,manual/source-board follow-up,itch.io,https://itch.io/jams,https://itch.io/jams,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-student-game-competition-entry-2026-09-29,Student Game Competition Entry,manual/source-board follow-up,itch.io,https://itch.io/jams,https://itch.io/jams,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-unity-student-challenge-2026-11-04,Unity Student Challenge,manual/source-board follow-up,Unity,https://unity.com,https://unity.com,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-dev-ddl,game-dev-ddl-unreal-engine-challenge-2026-10-17,Unreal Engine Challenge,manual/source-board follow-up,Unreal Engine,https://www.unrealengine.com,https://www.unrealengine.com,Source board,contest,,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,game-version-ddl,game-version-ddl-lol-first-patch-2027-forecast,League of Legends 2027 首个 Patch 预测窗口,manual/source-board follow-up,League of Legends Support official schedule,https://support-leagueoflegends.riotgames.com/hc/en-us/articles/360018987893-Patch-Schedule-League-of-Legends,https://support-leagueoflegends.riotgames.com/hc/en-us/articles/360018987893-Patch-Schedule-League-of-Legends,Forecast window,forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
P2,google-scholar-metrics-ddl,google-scholar-metrics-2026-forecast-window,2026 Scholar Metrics 发布窗口预测,manual/source-board follow-up,Google Scholar Blog,https://scholar.googleblog.com/2025/07/2025-scholar-metrics-released.html,https://scholar.googleblog.com/2025/07/2025-scholar-metrics-released.html,"Forecast, not official date",forecastWindow,true,从官方入口继续解析具体日期页；短期无法自动解析时保留人工核验记录
